year,claim,ret,dgrowth,pd
1969,Growth,-0.01950929552000147,-0.1408768597374871,71.2701103483616
1970,Growth,-0.14799827469844307,-0.022265346648660533,60.99161900792287
1971,Growth,0.19435129103339355,0.1327775566510475,62.70019445684983
1972,Growth,0.18664494952265342,-0.01119015283950242,74.16261430467195
1973,Growth,-0.2574616317015316,-0.11739550368327445,61.03211293658088
1974,Growth,-0.38046438345367584,0.028847401359677893,35.87743328694675
1975,Growth,0.22443986637731883,0.047701278874885844,40.865269224474034
1976,Growth,0.08255171506963,0.06155266419784533,40.567578847824926
1977,Growth,-0.14290764339573947,0.1514961143846612,28.87306973206702
1978,Growth,0.008948670782599866,-0.007195228560211042,28.300281204898546
1979,Growth,0.0735492995618956,-0.018157755505974038,29.854857257658217
1980,Growth,0.2530857825746471,-0.10069722486825272,40.143505485275504
1981,Growth,-0.15920458067478005,-0.12354232762836648,37.23301281638664
1982,Growth,0.12353023132324847,-0.04628202893710487,42.571335980545136
1983,Growth,0.11605832317352882,-0.032092532730229384,48.05511616920988
1984,Growth,-0.08339412429446724,0.007747442894275647,42.67671615144449
1985,Growth,0.26376853975077275,0.031196699261734517,51.14514766911367
1986,Growth,0.0929461841676511,0.19886342306484345,44.84149913122668
1987,Growth,0.021824770749345745,-0.14109494323749633,51.89086213379284
1988,Growth,0.06314032325458996,0.14785456250270473,46.54808913094116
1989,Growth,0.2813774631231838,0.05710311563584752,55.22856323071058
1990,Growth,-0.01878171794901007,0.10855557512128433,47.58056164416507
1991,Growth,0.44511582448097053,0.015497518117158715,66.51566333300039
1992,Growth,0.002630353166851007,0.020289301814053085,64.28628333799033
1993,Growth,-0.0421017117534106,0.04057675352683035,58.09037474122041
1994,Growth,-0.004009751243169157,0.01612025171483103,55.902429501487795
1995,Growth,0.3463658625215491,0.027864035536289883,72.06147689980104
1996,Growth,0.17809976549998052,0.1179647772037916,74.36415389394597
1997,Growth,0.26112361022816466,0.042040568940687285,88.82306892661093
1998,Growth,0.3938691057026369,0.010996432447472792,121.25265783872226
1999,Growth,0.28140752167446714,0.09641231848864625,139.900291997436
2000,Growth,-0.17855006497886938,-0.061992807431824656,121.40003095734761
2001,Growth,-0.17207830401245738,-0.038679417741072225,103.49209727067772
2002,Growth,-0.2476544029609551,0.0281016803819659,74.79403555046609
2003,Growth,0.24979710414971779,0.04675333257451571,88.06643170658583
1930,Value,-0.4827847459601643,-0.24021945699937192,17.682241617842717
1931,Value,-0.47123710848358913,-1.6069519846292424,46.12049548491418
1932,Value,0.3543805501609667,-2.3839384404026838,676.1958872121241
1933,Value,1.406931822184112,,
1934,Value,-0.25844350342950506,,1153.7153372784787
1935,Value,0.4297852965780762,1.9011107761491628,245.0990530800995
1936,Value,0.40769707192214844,1.0905733393212882,114.84209255122059
1937,Value,-0.4336291749541502,0.8184007052643828,27.921282374702784
1938,Value,0.31037210172940144,-0.6851717722338636,71.29947735850094
1939,Value,-0.12796614580105647,0.13570478446928047,53.255335248817744
1940,Value,-0.10119189210112145,0.5292881848642683,27.131362551416
1941,Value,-0.062069006912295666,0.38882679747509685,16.329985675569016
1942,Value,0.24209854654093754,0.30152061864072427,13.84273322801747
1943,Value,0.4926997282620269,0.037710367579905126,18.840135286587586
1944,Value,0.4810082959285402,0.2309301137444436,20.960117791986043
1945,Value,0.4834828521533223,0.1364333618591585,25.942477461065636
1946,Value,-0.16622482325273558,0.02086964835316707,20.272664630115525
1947,Value,-0.0263960822072693,0.06383603409404254,17.434602782073434
1948,Value,-0.01405718058176264,0.16425976481887328,13.621011242937252
1949,Value,0.188876197455488,-0.04549560028783428,15.781812273790573
1950,Value,0.5373522778212765,0.3454025700832417,15.93304948842221
1951,Value,0.058120967326052764,-0.01776454211811762,16.119443300771575
1952,Value,0.1792900479465751,-0.016264354894463873,18.216657840956504
1953,Value,-0.1225258981530356,0.07147421192835834,13.939139858716294
1954,Value,0.6985277742590768,-0.11060359099982864,25.096907044822483
1955,Value,0.18492583781687233,0.20191785231534054,23.248481230681598
1956,Value,-0.0218840539744366,0.13132394617319143,18.93995512454309
1957,Value,-0.26679313606055455,-0.011299847643936767,13.229359135128176
1958,Value,0.7668648465540693,-0.21232208110195172,27.592253328276072
1959,Value,0.07690578706370266,0.14474784950310915,24.70393613588912
1960,Value,-0.14804393210464806,0.02817141887044805,19.478752529728297
1961,Value,0.2297355050824792,-0.1197133671312226,25.958390122068117
1962,Value,-0.037852993988164996,-0.03324417936221702,24.768418709142455
1963,Value,0.28868470912019495,0.06779288695909924,28.749509702244058
1964,Value,0.181217702878546,0.1589929387142185,27.92517217026888
1965,Value,0.23806744188204387,0.09935160056351999,30.176041363873196
1966,Value,-0.1452371358087987,0.1288066309498972,21.734252409998085
1967,Value,0.35105177936192167,0.10178158411149041,25.432931922268725
1968,Value,0.26840509648512945,0.06886941397546642,28.95919533982443
1969,Value,-0.23952048673524529,0.07098095363925871,19.636028746627485
1970,Value,0.04358673414218339,-0.09309954098530882,21.366504340271838
1971,Value,0.1291662278322241,-0.21707148991660685,28.929431090104163
1972,Value,0.05307304544823821,0.013433826741624522,29.041069525460834
1973,Value,-0.14133603488056956,0.13212754005051686,20.826249593359414
1974,Value,-0.32642338009203453,-0.010237026008866668,13.34277530137362
1975,Value,0.37751150281809354,-0.3157245610192123,24.145274285243758
1976,Value,0.4772005819230847,0.09808461457847995,31.219869126786524
1977,Value,0.04080127437402603,0.31643331958928234,22.629877147533016
1978,Value,0.05095458600402969,0.19169674055809982,18.63799509868682
1979,Value,0.17652023482752033,0.14946923420487224,17.807457203467372
1980,Value,0.054719570351180025,0.15084624336393948,15.089561156749628
1981,Value,0.0793396426822548,0.16274567800589468,12.799531471223466
1982,Value,0.2350936070062486,0.007918123348906736,14.456679247833641
1983,Value,0.2596514466354525,-0.012205216324210788,17.357418034357448
1984,Value,0.11553679333919709,0.10524693355984205,16.343731103579607
1985,Value,0.27669847367778533,0.12683236474948734,17.247514753705683
1986,Value,0.20990228508497433,0.015428825327206575,19.4963403511266
1987,Value,-0.03311282947661165,-0.018948274733618486,18.327716745912014
1988,Value,0.24036959429741067,0.21333113038082896,17.276452033973747
1989,Value,0.23057969877889084,-0.052660066027352403,21.336142128373314
1990,Value,-0.20449721798840603,0.018973886288947917,15.72287807713652
1991,Value,0.24558737094481264,-0.33657559420517025,26.332952545674406
1992,Value,0.27796820999890204,-0.1099607116926764,36.4683010657844
1993,Value,0.23071587313370845,0.13931251011985957,37.985078521518126
1994,Value,-0.034403081461938045,0.2682025659826053,27.05512317038232
1995,Value,0.37062725140012076,0.1985485715205053,29.25746015053429
1996,Value,0.13047379364994693,0.07078714001923458,29.729091071492018
1997,Value,0.2999022262516067,-0.007620957563934105,37.78605225814448
1998,Value,0.12092244788086504,-0.010061287074551117,41.72699109307688
1999,Value,0.029914075347958535,-0.0846202130071303,45.734346859564724
2000,Value,0.2079118994831961,0.06176270582833299,50.807253392621206
2001,Value,0.02867164252401211,-0.1981300045619654,62.71193446970546
2002,Value,-0.2154888219237423,-0.4542846618112746,76.56265374500873
2003,Value,0.3468537587514362,0.06893639262993512,95.0344384307302
1930,Market,-0.25757361174397675,-0.02609925986979239,15.759795546918149
1931,Market,-0.37719432104764783,-0.1306132296719319,10.519134201694149
1932,Market,0.043763962359282926,-0.38544375390255525,15.069269325422177
1933,Market,0.6322569164994174,-0.17158118339594186,27.99516848314918
1934,Market,-0.012940824025421294,0.09764772119433707,24.05589815081935
1935,Market,0.41943019656831115,0.07704623932771726,30.341680762955374
1936,Market,0.3110871582023593,0.42187235487799385,24.978119382286167
1937,Market,-0.36896808996598707,0.0657649661915804,13.969943040238554
1938,Market,0.31428119849654323,-0.433362640742597,27.126879479791892
1939,Market,0.028428632808320753,0.18782379722788856,22.044482447397332
1940,Market,-0.08291416171115495,0.11456200034953207,17.00694427309965
1941,Market,-0.1531052349181684,0.029482117408043462,13.040825228879438
1942,Market,0.038010166829894665,-0.25427111833269667,16.30834766499636
1943,Market,0.17186351673456923,-0.08114049939942192,19.694707252751353
1944,Market,0.14778168042913897,0.011200468632083682,21.268894895961417
1945,Market,0.33704635470849675,-0.02612600396295106,28.03225442388607
1946,Market,-0.12513159648040006,0.03959201731929196,22.629407590337422
1947,Market,-0.0621470945791992,0.09617450460098653,18.23637564312078
1948,Market,-0.03336611128850919,0.0723540239542706,15.40123828336481
1949,Market,0.21060318084227547,0.08545329814937042,15.979695084779719
1950,Market,0.2893196516202068,0.1976626881075692,15.776315211208386
1951,Market,0.13233658471148835,-0.0858659643638337,18.390750032061543
1952,Market,0.11057980197452788,-0.009391093131011607,19.53821051124752
1953,Market,-0.009219008467487466,0.01093362090270994,18.11535109457556
1954,Market,0.4916149720104226,0.049493778038948555,24.51122262377094
1955,Market,0.24920927099121015,0.11007669059645456,26.33242024246951
1956,Market,0.06460944566065141,0.05205752447293424,25.580547377621958
1957,Market,-0.12991931629289744,0.004574808948296261,21.236127082640227
1958,Market,0.4143184530509385,-0.05710058733072354,30.58943039736227
1959,Market,0.10995966612354113,0.028871794174465643,31.93930800402419
1960,Market,-0.0042581369956855575,0.010890630902520099,30.401991230744834
1961,Market,0.256587512688744,0.0216049055189641,36.312366401302086
1962,Market,-0.11350904921411942,0.04021149146801159,29.894773567245014
1963,Market,0.1945149174877321,0.04570980853675914,33.045237587181866
1964,Market,0.1464923188891245,0.0669620943939116,34.379819649256916
1965,Market,0.12761108884272732,0.07719255377822269,34.82288860957903
1966,Market,-0.10939074050725595,0.0342951656322998,28.985663372081397
1967,Market,0.2540952978370259,0.0021524435095313377,35.18905949736105
1968,Market,0.09872208357757617,0.012378415362378783,37.10086999259891
1969,Market,-0.1467962004342297,-0.004247570602317702,30.835672658032752
1970,Market,-0.04397297054930527,-0.08633270349411412,31.020460214749345
1971,Market,0.11467400584745135,-0.0501223143910154,35.296238984489435
1972,Market,0.13469221320941793,-0.014837434046483852,39.5805384246842
1973,Market,-0.22899851347934785,-0.023635242071734,30.31230880915293
1974,Market,-0.3473667378284785,-0.017945015094896773,19.268972531835967
1975,Market,0.2678759149370433,-0.057023716650203934,24.82111846940856
1976,Market,0.2018908341535539,0.056762636967153585,27.106820669757525
1977,Market,-0.08895638349915602,0.07733268536456166,21.839392355240822
1978,Market,0.014835681350181762,0.041285518505279103,20.237457656666464
1979,Market,0.14264653935216143,0.03845261713691028,21.15673238116439
1980,Market,0.20284522775080194,0.00047271290179035086,24.269404610053947
1981,Market,-0.11880908366219645,-0.008445042320481044,20.58572404326139
1982,Market,0.14085108203329932,-0.006322469055393021,22.421926439584134
1983,Market,0.17641253730409967,-0.01118823116598043,25.63835813982179
1984,Market,-0.0059049287987424925,0.0069176757194150534,24.253550394442534
1985,Market,0.26983836203598033,0.02984708454198841,28.766540589974316
1986,Market,0.13101328101330378,0.056061282957882055,29.757068151456846
1987,Market,-0.01221509459560921,0.04890700610290674,27.11425135269691
1988,Market,0.13134814731487365,0.13083010620666002,25.867018491207936
1989,Market,0.23058888860284643,0.005881643575993634,30.559505682677464
1990,Market,-0.1003172469737793,-0.028336162967356138,27.289003008665706
1991,Market,0.293211607307831,-0.05381510576863707,36.12464842092718
1992,Market,0.06232356901167013,-0.030210531344172342,38.484557455139196
1993,Market,0.08873712455106908,-0.0013973470882380767,40.90942132441294
1994,Market,-0.027744337829460175,0.009885327870108374,38.38095940411757
1995,Market,0.32863211980164775,0.04827896239970919,47.457642872288616
1996,Market,0.18635549675124885,0.02233405203103822,53.96364659977888
1997,Market,0.28115478744985634,0.027222348595782153,66.16146155224062
1998,Market,0.21279982756209925,0.03179826473212927,76.61177739343327
1999,Market,0.23473171030676188,0.05846254645187471,88.07042153785099
2000,Market,-0.13351196077217686,-0.08549715750298498,82.20547054295768
2001,Market,-0.13013415598364786,-0.042371028043851844,73.61237894761902
2002,Market,-0.21860180300427035,0.004594085220812172,56.33986424544045
2003,Market,0.30401830445393063,0.10123487391438435,65.22006002390677
